title,company,salary,salary_monthly_usd,type,location,source,link,tags,relevance_score,skill_match_score,is_entry_level,is_startup,date_posted,date_found
"AI Intern (Applied AI, LLMs, Agentic Workflows)",K&L Gates,Not specified,0,Internship,"Pittsburgh, PA",LinkedIn,https://www.linkedin.com/jobs/view/ai-intern-applied-ai-llms-agentic-workflows-at-k-l-gates-4430488059?position=6&pageNum=0&refId=Mou1Wp54HOBjedElPqzwrQ%3D%3D&trackingId=fZQTiu8Ai63sbEPBjDeyWw%3D%3D,"ai, llm",66,40,True,False,Recent,2026-07-10 18:03
Machine Learning Engineering Internship,BehaviorAI,Not specified,0,Internship,New York City Metropolitan Area,LinkedIn,https://www.linkedin.com/jobs/view/machine-learning-engineering-internship-at-behaviorai-4437576244?position=3&pageNum=0&refId=4S1ZJZCGssgkO4hGwsCZFQ%3D%3D&trackingId=Uxnpdntcv4P5sFJ92xw25Q%3D%3D,"engineer, machine learning",66,40,True,False,Recent,2026-07-10 18:04
Machine Learning Engineer Intern,PlusAI,Not specified,0,Internship,"Santa Clara, CA",LinkedIn,https://www.linkedin.com/jobs/view/machine-learning-engineer-intern-at-plusai-4414372158?position=3&pageNum=1&refId=3Uv%2B6r4tmxsAkt0%2B7ZDqow%3D%3D&trackingId=PYsJN%2F260adWLEnH3wbfUA%3D%3D,"engineer, machine learning",66,40,True,False,2026-07-04,2026-07-10 18:04
AI Engineer Intern - USA,Black Box,Not specified,0,Internship,"Plano, TX",LinkedIn,https://www.linkedin.com/jobs/view/ai-engineer-intern-usa-at-black-box-4416843595?position=3&pageNum=0&refId=Mou1Wp54HOBjedElPqzwrQ%3D%3D&trackingId=hUM6nqfdR1rX1rH9d8JTDg%3D%3D,"engineer, ai",58,20,True,False,2026-07-06,2026-07-10 18:03
"AI Intern - Dallas, TX",Black Box,Not specified,0,Internship,"Plano, TX",LinkedIn,https://www.linkedin.com/jobs/view/ai-intern-dallas-tx-at-black-box-4405580701?position=7&pageNum=0&refId=Mou1Wp54HOBjedElPqzwrQ%3D%3D&trackingId=%2FPHbn%2B1hTyERn2%2Fx8HrWPg%3D%3D,ai,58,20,True,False,2026-07-06,2026-07-10 18:03
AI Computing Research Intern,Naïve,Not specified,0,Internship,"Mountain View, CA",LinkedIn,https://www.linkedin.com/jobs/view/ai-computing-research-intern-at-na%C3%AFve-4436599410?position=2&pageNum=2&refId=cdh5NTGGlhCBpp%2BkCNCrYQ%3D%3D&trackingId=kUauCiO2gHR5X1EivHBlYA%3D%3D,"ai, computing",58,20,True,False,2026-07-07,2026-07-10 18:03
AI Engineering Intern - Fall 2026,Medpace,Not specified,0,Internship,"Cincinnati, OH",LinkedIn,https://www.linkedin.com/jobs/view/ai-engineering-intern-fall-2026-at-medpace-4407323852?position=6&pageNum=2&refId=cdh5NTGGlhCBpp%2BkCNCrYQ%3D%3D&trackingId=PmeqXk8wdYsGI2bq3yUHTQ%3D%3D,"engineer, ai",58,20,True,False,2026-07-03,2026-07-10 18:03
AI Transformation / Forward Deployed Engineer (FDE) Intern,Datasite,Not specified,0,Internship,"New York, NY",LinkedIn,https://www.linkedin.com/jobs/view/ai-transformation-forward-deployed-engineer-fde-intern-at-datasite-4435603462?position=5&pageNum=3&refId=diilrbfTpQ93Xnu14lfapg%3D%3D&trackingId=Q5tj0J6XVeCJK808v0hQEA%3D%3D,"engineer, ai",58,20,True,False,2026-07-09,2026-07-10 18:03
AI Analyst Intern,Lanco Group of Companies,Not specified,0,Internship,"Homewood, IL",LinkedIn,https://www.linkedin.com/jobs/view/ai-analyst-intern-at-lanco-group-of-companies-4435908205?position=5&pageNum=0&refId=4S1ZJZCGssgkO4hGwsCZFQ%3D%3D&trackingId=MsuusOV%2BwbP0mmjfK0Qn2Q%3D%3D,ai,58,20,True,False,Recent,2026-07-10 18:04
AI/ML Engineering Internship,ChatGPT Jobs,Not specified,0,Internship,"Mountain View, CA",LinkedIn,https://www.linkedin.com/jobs/view/ai-ml-engineering-internship-at-chatgpt-jobs-4433760275?position=7&pageNum=0&refId=4S1ZJZCGssgkO4hGwsCZFQ%3D%3D&trackingId=bf2XqiW3fsFPuKOI6Iyxzg%3D%3D,"engineer, ai, ml",58,20,True,False,2026-07-04,2026-07-10 18:04
"Research Scientist Intern, AI Alignment",Meta,Not specified,0,Internship,"New York, NY",LinkedIn,https://www.linkedin.com/jobs/view/research-scientist-intern-ai-alignment-at-meta-4312031471?position=8&pageNum=0&refId=4S1ZJZCGssgkO4hGwsCZFQ%3D%3D&trackingId=2ONHyUOrM26HdG7gWMLK6w%3D%3D,ai,58,20,True,False,Recent,2026-07-10 18:04
AI Engineer Intern,Athena,Not specified,0,Internship,United States,LinkedIn,https://www.linkedin.com/jobs/view/ai-engineer-intern-at-athena-4435408803?position=10&pageNum=0&refId=4S1ZJZCGssgkO4hGwsCZFQ%3D%3D&trackingId=lWBcjePXNpl3xwGBgHPtPw%3D%3D,"engineer, ai",58,20,True,False,2026-07-03,2026-07-10 18:04
Deep Learning Intern,PlusAI,Not specified,0,Internship,"Santa Clara, CA",LinkedIn,https://www.linkedin.com/jobs/view/deep-learning-intern-at-plusai-4416832802?position=6&pageNum=1&refId=3Uv%2B6r4tmxsAkt0%2B7ZDqow%3D%3D&trackingId=xrvjS2y6bUlHdmjxddD7dQ%3D%3D,deep learning,58,20,True,False,2026-07-08,2026-07-10 18:04
Full Stack Developer Intern,Cerebrone.ai,Not specified,0,Internship,"Charlotte, NC",LinkedIn,https://www.linkedin.com/jobs/view/full-stack-developer-intern-at-cerebrone-ai-4438232833?position=3&pageNum=1&refId=wDNNWYwF%2B7gNREJJqOHJfA%3D%3D&trackingId=pcUmPLU4y6W2rt3rDFfYeg%3D%3D,"developer, full stack",53,20,True,False,2026-07-08,2026-07-10 18:04
ML & Software Development Internship,Daijobu AI,Not specified,0,Internship,"City of Washington County, DC",LinkedIn,https://www.linkedin.com/jobs/view/ml-software-development-internship-at-daijobu-ai-4436998316?position=2&pageNum=1&refId=3Uv%2B6r4tmxsAkt0%2B7ZDqow%3D%3D&trackingId=KUVZCFbMgXYdIKt%2FdaN6FQ%3D%3D,"software, ml",48,20,True,False,2026-07-05,2026-07-10 18:04
Full Stack Engineer Intern,Concorde Research Technologies,Not specified,0,Internship,"Asbury Park, NJ",LinkedIn,https://www.linkedin.com/jobs/view/full-stack-engineer-intern-at-concorde-research-technologies-4437085334?position=3&pageNum=0&refId=ARlSt6Y2PAF%2BSndX16D22g%3D%3D&trackingId=ZvcRkBeTPfQzKNL%2BJNnQEQ%3D%3D,"engineer, full stack",45,0,True,False,2026-07-08,2026-07-10 18:04
"Year at Palantir - Software Engineer, Internship",Palantir Technologies,Not specified,0,Internship,"New York, NY",LinkedIn,https://www.linkedin.com/jobs/view/year-at-palantir-software-engineer-internship-at-palantir-technologies-4414767866?position=5&pageNum=0&refId=KoehzEFkCRxIPZfuMmZuRA%3D%3D&trackingId=l1xvVukg%2BfkWPjnVAAdFZg%3D%3D,"software, engineer",40,0,True,False,2026-07-07,2026-07-10 18:03
"Software Engineer Intern, Infrastructure",Neuralink,Not specified,0,Internship,"South San Francisco, CA",LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-intern-infrastructure-at-neuralink-4416709802?position=8&pageNum=0&refId=KoehzEFkCRxIPZfuMmZuRA%3D%3D&trackingId=Q5wr5PUE%2BX9xfD%2ByyHmb4A%3D%3D,"software, engineer",40,0,True,False,2026-07-03,2026-07-10 18:03
Software Engineer Intern,Pioneers,Not specified,0,Internship,"Henderson, NV",LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-intern-at-pioneers-4434892627?position=10&pageNum=0&refId=KoehzEFkCRxIPZfuMmZuRA%3D%3D&trackingId=z%2FtIVOAmFzpQPrHF7sk3vQ%3D%3D,"software, engineer",40,0,True,False,2026-07-08,2026-07-10 18:03
Software Engineering Internship - Fall 2026,Vital Lyfe,Not specified,0,Internship,Los Angeles Metropolitan Area,LinkedIn,https://www.linkedin.com/jobs/view/software-engineering-internship-fall-2026-at-vital-lyfe-4435901801?position=1&pageNum=1&refId=n290v6BU4QGndkMHkTV5Bw%3D%3D&trackingId=hXbPcVWR%2BvnfHfcB4nBQkg%3D%3D,"software, engineer",40,0,True,False,Recent,2026-07-10 18:03
Software Engineering Intern,DMR Technologies,Not specified,0,Internship,"Lafayette, LA",LinkedIn,https://www.linkedin.com/jobs/view/software-engineering-intern-at-dmr-technologies-4435969732?position=3&pageNum=1&refId=n290v6BU4QGndkMHkTV5Bw%3D%3D&trackingId=O2vh5ZXwXbLmlqXN6ickiQ%3D%3D,"software, engineer",40,0,True,False,Recent,2026-07-10 18:03
Software Engineer Intern,Sony Electronics,Not specified,0,Internship,"San Diego, CA",LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-intern-at-sony-electronics-4428718540?position=4&pageNum=1&refId=n290v6BU4QGndkMHkTV5Bw%3D%3D&trackingId=CUBABmqcjIYIX33nDBVByw%3D%3D,"software, engineer",40,0,True,False,Recent,2026-07-10 18:03
"Year at Palantir - Forward Deployed Software Engineer, Internship - USG",Palantir Technologies,Not specified,0,Internship,"New York, NY",LinkedIn,https://www.linkedin.com/jobs/view/year-at-palantir-forward-deployed-software-engineer-internship-usg-at-palantir-technologies-4414769839?position=6&pageNum=2&refId=5Vsu%2BwXOl0NsoCwcFx%2FreQ%3D%3D&trackingId=csdfahhF25cjLwUpVJm8%2BA%3D%3D,"software, engineer",40,0,True,False,2026-07-07,2026-07-10 18:03
Software Engineering Intern,Rieke,Not specified,0,Internship,"Bloomfield Hills, MI",LinkedIn,https://www.linkedin.com/jobs/view/software-engineering-intern-at-rieke-4437304731?position=8&pageNum=3&refId=zPHfc3G0MRFqeM6d%2BO2CAw%3D%3D&trackingId=7WvP%2BB2semmER%2B7Z5bC6WQ%3D%3D,"software, engineer",40,0,True,False,2026-07-07,2026-07-10 18:03
Software Engineering Intern (Fall 2026),Gemini,Not specified,0,Internship,"New York, NY",LinkedIn,https://www.linkedin.com/jobs/view/software-engineering-intern-fall-2026-at-gemini-4407964482?position=10&pageNum=3&refId=zPHfc3G0MRFqeM6d%2BO2CAw%3D%3D&trackingId=DyoQMrMWLQElhLZ%2Fe2wtPg%3D%3D,"software, engineer",40,0,True,False,2026-07-05,2026-07-10 18:03
